ID	Length	Source	ExonCount	CDSLength	Coverage	Integrity
PdomMRNAr1.2-00001.1	3300	snap	5	1842	1.00	1.00
PdomMRNAr1.2-00002.1	1919	augustus	3	666	1.00	0.99
PdomMRNAr1.2-00003.1	9040	augustus	15	2709	1.00	0.82
PdomMRNAr1.2-00004.1	3261	VIGA	10	1548	1.00	1.00
PdomMRNAr1.2-00005.1	802	genemark	2	216	0.96	0.30
PdomMRNAr1.2-00006.1	4602	genemark	10	3168	1.00	0.82
PdomMRNAr1.2-00007.1	8477	augustus	8	2631	1.00	0.78
PdomMRNAr1.2-00008.1	655	snap	3	303	1.00	0.60
PdomMRNAr1.2-00009.1	3539	snap	5	1326	1.00	0.65
PdomMRNAr1.2-00010.1	3465	augustus	12	1965	1.00	0.79
PdomMRNAr1.2-00011.1	1199	VIGA	4	486	1.00	0.97
PdomMRNAr1.2-00012.1	2892	genemark	7	957	1.00	1.00
PdomMRNAr1.2-00013.1	3912	snap	4	222	0.69	0.21
PdomMRNAr1.2-00014.1	8339	snap	7	813	0.15	0.04
PdomMRNAr1.2-00015.1	1802	augustus	4	456	1.00	1.00
PdomMRNAr1.2-00016.1	2075	VIGA	5	954	1.00	1.00
PdomMRNAr1.2-00017.1	5630	VIGA	13	3855	0.84	0.90
PdomMRNAr1.2-00018.1	2150	augustus	5	1608	0.88	0.91
PdomMRNAr1.2-00019.1	1045	genemark	3	468	1.00	0.90
PdomMRNAr1.2-00020.1	16827	augustus	6	798	0.03	0.01
PdomMRNAr1.2-00021.1	1915	snap	5	267	0.26	0.08
PdomMRNAr1.2-00022.1	4058	augustus	5	552	1.00	0.98
PdomMRNAr1.2-00023.1	1549	augustus	3	366	0.00	0.00
PdomMRNAr1.2-00024.1	1533	augustus	2	1431	0.96	0.29
PdomMRNAr1.2-00025.1	13628	VIGA	13	2880	1.00	0.93
PdomMRNAr1.2-00028.1	729	augustus	2	630	0.97	0.89
PdomMRNAr1.2-00029.1	1094	augustus	3	954	1.00	0.60
PdomMRNAr1.2-00030.1	1036	snap	3	768	1.00	0.93
PdomMRNAr1.2-00032.1	1700	snap	3	228	0.90	0.27
PdomMRNAr1.2-00033.1	1163	genemark	2	420	0.00	0.00
PdomMRNAr1.2-00034.1	793	genemark	4	459	1.00	0.70
PdomMRNAr1.2-00035.1	10427	snap	6	600	0.24	0.07
PdomMRNAr1.2-00036.1	8524	genemark	15	3420	1.00	1.00
PdomMRNAr1.2-00037.1	8194	genemark	12	2352	1.00	0.95
PdomMRNAr1.2-00038.1	679	snap	5	348	0.76	0.53
PdomMRNAr1.2-00039.1	3993	genemark	6	1446	1.00	0.97
PdomMRNAr1.2-00040.1	549	genemark	1	549	1.00	0.90
PdomMRNAr1.2-00041.1	1679	genemark	4	1221	1.00	0.55
PdomMRNAr1.2-00042.1	4563	genemark	7	2343	1.00	1.00
PdomMRNAr1.2-00043.1	4604	genemark	13	1425	1.00	0.90
PdomMRNAr1.2-00044.1	2450	genemark	5	444	0.99	0.65
PdomMRNAr1.2-00045.1	6141	augustus	7	2166	0.16	0.05
PdomMRNAr1.2-00046.1	1811	genemark	4	639	1.00	0.97
PdomMRNAr1.2-00047.1	10951	augustus	3	582	0.06	0.02
PdomMRNAr1.2-00048.1	2397	genemark	2	1974	0.89	0.92
PdomMRNAr1.2-00049.1	594	genemark	2	294	0.00	0.00
PdomMRNAr1.2-00050.1	216	genemark	1	216	0.00	0.00
PdomMRNAr1.2-00051.1	1673	genemark	4	258	0.09	0.03
PdomMRNAr1.2-00052.1	7699	snap	9	2337	1.00	0.85
PdomMRNAr1.2-00053.1	2873	genemark	6	1545	1.00	0.83
PdomMRNAr1.2-00054.1	906	augustus	4	594	0.06	0.02
PdomMRNAr1.2-00055.1	1676	augustus	2	246	0.26	0.08
PdomMRNAr1.2-00056.1	2633	augustus	4	939	1.00	0.75
PdomMRNAr1.2-00057.1	905	augustus	2	744	1.00	0.30
PdomMRNAr1.2-00058.1	2865	augustus	7	945	1.00	1.00
PdomMRNAr1.2-00059.1	2047	augustus	7	987	1.00	0.98
PdomMRNAr1.2-00060.1	22989	genemark	8	855	1.00	0.87
PdomMRNAr1.2-00061.1	6751	genemark	12	5184	1.00	1.00
PdomMRNAr1.2-00062.1	10274	genemark	6	999	1.00	0.78
PdomMRNAr1.2-00063.1	1017	genemark	3	213	0.78	0.23
PdomMRNAr1.2-00064.1	898	genemark	2	225	1.00	0.95
PdomMRNAr1.2-00065.1	9315	genemark	15	2529	1.00	1.00
PdomMRNAr1.2-00066.1	3720	VIGA	7	897	1.00	0.95
PdomMRNAr1.2-00067.1	5175	VIGA	10	2532	0.99	1.00
PdomMRNAr1.2-00068.1	890	genemark	3	639	0.32	0.40
PdomMRNAr1.2-00069.1	601	genemark	2	405	0.66	0.81
PdomMRNAr1.2-00070.1	1187	snap	2	321	1.00	0.30
PdomMRNAr1.2-00071.1	3833	snap	8	2208	0.98	0.69
PdomMRNAr1.2-00072.1	862	snap	3	339	1.00	0.64
PdomMRNAr1.2-00073.1	2313	snap	5	456	1.00	0.49
PdomMRNAr1.2-00074.1	418	snap	2	231	1.00	0.90
PdomMRNAr1.2-00075.1	4397	snap	12	1674	0.89	0.38
PdomMRNAr1.2-00076.1	2199	genemark	2	297	1.00	0.94
PdomMRNAr1.2-00077.1	13220	genemark	13	2325	1.00	0.95
PdomMRNAr1.2-00078.1	590	VIGA	2	465	0.00	0.00
PdomMRNAr1.2-00079.1	6554	VIGA	14	3270	1.00	1.00
PdomMRNAr1.2-00080.1	3553	genemark	7	1122	1.00	1.00
PdomMRNAr1.2-00081.1	1888	genemark	4	717	1.00	0.75
PdomMRNAr1.2-00082.1	12309	snap	5	822	1.00	0.95
PdomMRNAr1.2-00083.1	10806	augustus	16	6600	1.00	0.83
PdomMRNAr1.2-00084.1	8780	augustus	13	2859	1.00	0.85
PdomMRNAr1.2-00085.1	2138	genemark	5	681	0.99	0.95
PdomMRNAr1.2-00086.1	1367	snap	3	432	0.79	0.59
PdomMRNAr1.2-00087.1	911	snap	3	243	0.40	0.12
PdomMRNAr1.2-00088.1	3913	genemark	2	1452	0.95	0.28
PdomMRNAr1.2-00089.1	1772	genemark	4	1314	1.00	0.90
PdomMRNAr1.2-00090.1	7258	VIGA	11	1725	0.69	0.57
PdomMRNAr1.2-00091.1	17099	VIGA	10	2163	0.98	0.95
PdomMRNAr1.2-00092.1	1563	genemark	5	909	1.00	0.94
PdomMRNAr1.2-00093.1	1052	genemark	2	372	0.82	0.85
PdomMRNAr1.2-00094.1	9037	genemark	7	486	1.00	0.86
PdomMRNAr1.2-00095.1	2202	VIGA	5	1320	0.85	0.76
PdomMRNAr1.2-00096.1	2567	augustus	3	606	1.00	0.94
PdomMRNAr1.2-00097.1	40044	augustus	9	1350	0.03	0.01
PdomMRNAr1.2-00098.1	1755	augustus	4	1047	1.00	0.97
PdomMRNAr1.2-00099.1	2215	snap	6	1296	0.00	0.00
PdomMRNAr1.2-00100.1	849	snap	4	573	1.00	0.70
PdomMRNAr1.2-00101.1	4396	augustus	12	2997	0.47	0.20
PdomMRNAr1.2-00102.1	1901	snap	3	219	0.48	0.14
PdomMRNAr1.2-00103.1	4670	snap	4	309	0.29	0.09
PdomMRNAr1.2-00104.1	8881	augustus	5	1683	1.00	0.95
PdomMRNAr1.2-00105.1	2242	snap	3	384	0.95	0.28
PdomMRNAr1.2-00106.1	1977	genemark	2	291	1.00	1.00
PdomMRNAr1.2-00107.1	2876	genemark	5	1227	1.00	0.99
PdomMRNAr1.2-00108.1	357	augustus	1	357	1.00	0.84
PdomMRNAr1.2-00109.1	5316	augustus	9	1791	1.00	1.00
PdomMRNAr1.2-00110.1	5385	VIGA	12	2829	1.00	1.00
PdomMRNAr1.2-00111.1	1403	augustus	5	597	1.00	0.99
PdomMRNAr1.2-00112.1	694	augustus	2	471	1.00	0.30
PdomMRNAr1.2-00113.1	3813	VIGA	6	1629	1.00	1.00
PdomMRNAr1.2-00114.1	2203	VIGA	7	1260	1.00	0.95
PdomMRNAr1.2-00115.1	323	genemark	2	225	0.87	0.26
PdomMRNAr1.2-00116.1	4338	VIGA	12	1410	1.00	1.00
PdomMRNAr1.2-00117.1	1097	VIGA	3	420	1.00	1.00
PdomMRNAr1.2-00118.1	2058	VIGA	6	1164	1.00	0.30
PdomMRNAr1.2-00119.1	327	genemark	1	327	0.00	0.00
PdomMRNAr1.2-00120.1	1002	genemark	3	465	0.00	0.00
PdomMRNAr1.2-00121.1	5521	augustus	5	1092	0.99	1.00
PdomMRNAr1.2-00122.1	420	augustus	2	321	1.00	0.30
PdomMRNAr1.2-00123.1	7902	VIGA	8	1164	1.00	1.00
PdomMRNAr1.2-00124.1	4786	snap	14	2232	1.00	0.99
PdomMRNAr1.2-00125.1	557	augustus	2	492	0.00	0.00
PdomMRNAr1.2-00126.1	3629	augustus	7	1722	1.00	1.00
PdomMRNAr1.2-00127.1	1477	augustus	3	1011	1.00	0.30
PdomMRNAr1.2-00128.1	2802	augustus	6	960	1.00	0.99
PdomMRNAr1.2-00129.1	2369	augustus	6	1086	1.00	1.00
PdomMRNAr1.2-00130.1	915	genemark	2	216	0.22	0.07
PdomMRNAr1.2-00131.1	2880	snap	3	1347	0.92	0.28
PdomMRNAr1.2-00132.1	13594	augustus	6	1527	1.00	0.95
PdomMRNAr1.2-00133.1	8423	VIGA	20	2925	0.99	0.93
PdomMRNAr1.2-00134.1	3498	snap	4	210	0.00	0.00
PdomMRNAr1.2-00135.1	1610	augustus	3	1221	1.00	0.62
PdomMRNAr1.2-00137.1	1685	snap	6	840	1.00	0.95
PdomMRNAr1.2-00138.1	1609	augustus	3	975	1.00	0.60
PdomMRNAr1.2-00139.1	1350	augustus	1	1350	1.00	0.90
PdomMRNAr1.2-00140.1	1595	augustus	2	858	1.00	0.37
PdomMRNAr1.2-00141.1	4012	genemark	13	2619	1.00	0.97
PdomMRNAr1.2-00142.1	830	snap	3	534	0.97	0.29
PdomMRNAr1.2-00143.1	4385	snap	7	3072	1.00	0.65
PdomMRNAr1.2-00144.1	15554	augustus	9	6783	0.00	0.00
PdomMRNAr1.2-00146.1	4359	genemark	9	2838	1.00	0.96
PdomMRNAr1.2-00147.1	351	genemark	1	351	1.00	0.83
PdomMRNAr1.2-00148.1	4366	snap	6	426	1.00	0.30
PdomMRNAr1.2-00149.1	10594	snap	10	870	0.00	0.00
PdomMRNAr1.2-00150.1	15832	snap	7	366	0.06	0.02
PdomMRNAr1.2-00151.1	1245	augustus	3	693	1.00	0.95
PdomMRNAr1.2-00152.1	21198	augustus	18	3237	1.00	0.90
PdomMRNAr1.2-00153.1	3010	genemark	6	1092	1.00	1.00
PdomMRNAr1.2-00154.1	1339	augustus	3	588	1.00	0.35
