GeneModel	Coverage	Integrity
PdomMRNAr1.2-00001.1	1	1
PdomMRNAr1.2-00002.1	1	0.99
PdomMRNAr1.2-00003.1	1	0.82
PdomMRNAr1.2-00004.1	1	1
PdomMRNAr1.2-00005.1	0.96	0.3
PdomMRNAr1.2-00006.1	1	0.82
PdomMRNAr1.2-00007.1	1	0.78
PdomMRNAr1.2-00008.1	1	0.6
PdomMRNAr1.2-00009.1	1	0.65
PdomMRNAr1.2-00010.1	1	0.79
PdomMRNAr1.2-00011.1	1	0.97
PdomMRNAr1.2-00012.1	1	1
PdomMRNAr1.2-00013.1	0.69	0.21
PdomMRNAr1.2-00014.1	0.15	0.04
PdomMRNAr1.2-00015.1	1	1
PdomMRNAr1.2-00016.1	1	1
PdomMRNAr1.2-00017.1	0.84	0.9
PdomMRNAr1.2-00018.1	0.88	0.91
PdomMRNAr1.2-00019.1	1	0.9
PdomMRNAr1.2-00020.1	0.03	0.01
PdomMRNAr1.2-00021.1	0.26	0.08
PdomMRNAr1.2-00022.1	1	0.98
PdomMRNAr1.2-00023.1	0	NULL
PdomMRNAr1.2-00024.1	0.96	0.29
PdomMRNAr1.2-00025.1	1	0.93
PdomMRNAr1.2-00028.1	0.97	0.89
PdomMRNAr1.2-00029.1	1	0.6
PdomMRNAr1.2-00030.1	1	0.93
PdomMRNAr1.2-00032.1	0.9	0.27
PdomMRNAr1.2-00033.1	0	0
PdomMRNAr1.2-00034.1	1	0.7
PdomMRNAr1.2-00035.1	0.24	0.07
PdomMRNAr1.2-00036.1	1	1
PdomMRNAr1.2-00037.1	1	0.95
PdomMRNAr1.2-00038.1	0.76	0.53
PdomMRNAr1.2-00039.1	1	0.97
PdomMRNAr1.2-00040.1	1	0.9
PdomMRNAr1.2-00041.1	1	0.55
PdomMRNAr1.2-00042.1	1	1
PdomMRNAr1.2-00043.1	1	0.9
PdomMRNAr1.2-00044.1	0.99	0.65
PdomMRNAr1.2-00045.1	0.16	0.05
PdomMRNAr1.2-00046.1	1	0.97
PdomMRNAr1.2-00047.1	0.06	0.02
PdomMRNAr1.2-00048.1	0.89	0.92
PdomMRNAr1.2-00049.1	0	NULL
PdomMRNAr1.2-00050.1	0	NULL
PdomMRNAr1.2-00051.1	0.09	0.03
PdomMRNAr1.2-00052.1	1	0.85
